booking_id,customer,amount,timestamp
5159,Alice,701.88,2025-08-05T18:10:28.483993
7187,Charlie,542.48,2025-08-05T18:10:28.484000
9707,Charlie,686.36,2025-08-05T18:10:28.484003
7886,Diana,355.05,2025-08-05T18:10:28.484006
5793,Diana,903.69,2025-08-05T18:10:28.484009
9158,Charlie,732.74,2025-08-05T18:10:28.484013
6432,Diana,583.46,2025-08-05T18:10:28.484017
9587,Bob,362.08,2025-08-05T18:10:28.484020
9475,Charlie,796.51,2025-08-05T18:10:28.484023
7434,Charlie,952.77,2025-08-05T18:10:28.484026
