booking_id,customer,amount,timestamp
4597,Diana,244.49,2025-08-05T18:09:26.811184
6000,Diana,917.07,2025-08-05T18:09:26.811190
8473,Alice,154.33,2025-08-05T18:09:26.811194
2966,Diana,183.3,2025-08-05T18:09:26.811197
4125,Alice,279.44,2025-08-05T18:09:26.811200
9551,Diana,770.02,2025-08-05T18:09:26.811203
7256,Diana,387.98,2025-08-05T18:09:26.811207
2352,Charlie,290.26,2025-08-05T18:09:26.811210
4268,Charlie,693.08,2025-08-05T18:09:26.811213
2657,Charlie,201.73,2025-08-05T18:09:26.811217
