booking_id,customer,amount,timestamp
5198,Charlie,501.28,2025-08-05T18:08:25.038412
1779,Charlie,303.45,2025-08-05T18:08:25.038419
7470,Charlie,721.12,2025-08-05T18:08:25.038423
8754,Charlie,217.97,2025-08-05T18:08:25.038426
1106,Diana,218.73,2025-08-05T18:08:25.038429
6603,Alice,765.98,2025-08-05T18:08:25.038433
2806,Charlie,261.33,2025-08-05T18:08:25.038437
4939,Alice,975.44,2025-08-05T18:08:25.038440
6790,Diana,203.81,2025-08-05T18:08:25.038443
9996,Bob,376.54,2025-08-05T18:08:25.038447
