booking_id,customer,amount,timestamp
3431,Bob,999.24,2025-08-05T18:06:20.925836
5656,Charlie,707.75,2025-08-05T18:06:20.925895
7414,Charlie,936.62,2025-08-05T18:06:20.925908
7651,Alice,881.07,2025-08-05T18:06:20.925917
2291,Charlie,945.89,2025-08-05T18:06:20.925926
2206,Charlie,129.22,2025-08-05T18:06:20.925935
1927,Bob,385.77,2025-08-05T18:06:20.925943
9715,Bob,814.69,2025-08-05T18:06:20.925952
9571,Diana,899.19,2025-08-05T18:06:20.925960
3872,Charlie,696.81,2025-08-05T18:06:20.925971
