booking_id,customer,amount,timestamp
1238,Charlie,783.13,2025-08-05T18:07:23.176180
4924,Diana,929.19,2025-08-05T18:07:23.176209
7917,Diana,214.37,2025-08-05T18:07:23.176216
7562,Charlie,704.01,2025-08-05T18:07:23.176221
9732,Alice,334.03,2025-08-05T18:07:23.176226
9249,Alice,804.23,2025-08-05T18:07:23.176231
5852,Diana,719.34,2025-08-05T18:07:23.176236
7351,Charlie,657.73,2025-08-05T18:07:23.176241
5595,Alice,284.08,2025-08-05T18:07:23.176246
4738,Charlie,616.76,2025-08-05T18:07:23.176251
